# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedUniformity(p)	weightedUniformity(U)	weightedUniformity(rhoU)
433           	9.822071e-01	9.966481e-01	9.966481e-01
434           	9.822076e-01	9.966471e-01	9.966471e-01
435           	9.822069e-01	9.966480e-01	9.966480e-01
436           	9.822079e-01	9.966470e-01	9.966470e-01
437           	9.822073e-01	9.966481e-01	9.966481e-01
438           	9.822079e-01	9.966471e-01	9.966471e-01
439           	9.822073e-01	9.966480e-01	9.966480e-01
440           	9.822081e-01	9.966470e-01	9.966470e-01
441           	9.822074e-01	9.966481e-01	9.966481e-01
442           	9.822075e-01	9.966471e-01	9.966471e-01
443           	9.822067e-01	9.966480e-01	9.966480e-01
444           	9.822071e-01	9.966470e-01	9.966470e-01
445           	9.822059e-01	9.966481e-01	9.966481e-01
446           	9.822057e-01	9.966471e-01	9.966471e-01
447           	9.822044e-01	9.966480e-01	9.966480e-01
448           	9.822042e-01	9.966470e-01	9.966470e-01
449           	9.822032e-01	9.966481e-01	9.966481e-01
450           	9.822028e-01	9.966471e-01	9.966471e-01
451           	9.822017e-01	9.966480e-01	9.966480e-01
452           	9.822021e-01	9.966470e-01	9.966470e-01
453           	9.822008e-01	9.966481e-01	9.966481e-01
454           	9.822010e-01	9.966471e-01	9.966471e-01
455           	9.822002e-01	9.966480e-01	9.966480e-01
456           	9.822006e-01	9.966470e-01	9.966470e-01
457           	9.821999e-01	9.966481e-01	9.966481e-01
458           	9.822005e-01	9.966471e-01	9.966471e-01
459           	9.821996e-01	9.966479e-01	9.966479e-01
460           	9.822006e-01	9.966469e-01	9.966469e-01
461           	9.821999e-01	9.966481e-01	9.966481e-01
462           	9.822003e-01	9.966471e-01	9.966471e-01
463           	9.821999e-01	9.966480e-01	9.966480e-01
464           	9.822007e-01	9.966470e-01	9.966470e-01
465           	9.821998e-01	9.966481e-01	9.966481e-01
466           	9.822004e-01	9.966471e-01	9.966471e-01
467           	9.821998e-01	9.966480e-01	9.966480e-01
468           	9.822006e-01	9.966470e-01	9.966470e-01
469           	9.821997e-01	9.966481e-01	9.966481e-01
470           	9.822003e-01	9.966471e-01	9.966471e-01
471           	9.821994e-01	9.966480e-01	9.966480e-01
472           	9.822003e-01	9.966470e-01	9.966470e-01
473           	9.821994e-01	9.966481e-01	9.966481e-01
474           	9.821996e-01	9.966471e-01	9.966471e-01
475           	9.821990e-01	9.966480e-01	9.966480e-01
476           	9.821998e-01	9.966470e-01	9.966470e-01
